sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	C50 Buddhist Studies-A 	24 English-Credit 	98 Music-Credit 	20A Music-A 	C70V Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	25A Music-A 	98 Music-Credit 	C103 Public Policy-A 	61 Interdisciplinary Studies-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	177 Dutch-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	100A Interdisciplinary Studies-A 	R5A South & SE Asian Studies-A 	115 Global Poverty & Practice-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	100 Legal Studies-A 	61 Molecular & Cell Biology-A 	C100 Development Studies-A 	R1B History of Art-A 	sem 5: 	major: ['Interdisciplinary Studies']: 	183 Anthropology-A 	1B Biology-A 	159AC Geography-A 	150 International & Area Stds-A 	sem 6: 	major: ['Interdisciplinary Studies']: 	8A Physics-B 	104 Gender & Womens Studies-Credit 	1A Chemistry-A 	1AL Chemistry-A 	158AC International & Area Stds-A 	sem 7: 	major: ['Interdisciplinary Studies']: 	189 Interdisciplinary Studies-A 	sem 8: 	major: ['Interdisciplinary Studies']: 	98 Mathematics-Credit 	3A Chemistry-A 	16A Mathematics-A 	123 Geography-A 	3AL Chemistry-A 
label: 	['105 Global Poverty & Practice', '3BL Chemistry', '1A Biology', '3B Chemistry', '1AL Biology']
sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	11 History of Art-A 	1B Mathematics-A 	4 Italian Studies-A 	1AL Chemistry-A 	1A Chemistry-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	1B Biology-A 	C115 Sociology-A 	134 Psychology-A 	3AL Chemistry-A 
label: 	['1AL Biology', '3BL Chemistry', '3B Chemistry', '1A Biology', '100A Interdisciplinary Studies']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology']
correct: 	['1A Biology', '3B Chemistry', '1AL Biology']

sem 0: 	major: ['Chemical Engineering']: 	45 Engineering-A 	198 Nutritional Science & Tox-Credit 	140 Chemical Engineering-C 	7 Engineering-B 	sem 1: 	major: ['Chemical Engineering']: 	150A Chemical Engineering-B 	141 Chemical Engineering-B 	98 Chemistry-Credit 	185 Chemical Engineering-B 	sem 2: 	major: ['Chemical Engineering']: 	137A Physics-B 	142 Chemical Engineering-B 	150B Chemical Engineering-C 
label: 	['111 Bioengineering', '170A Chemical Engineering', '110 Bioengineering', '154 Chemical Engineering']
predict: 	['3A Chemistry', '8B Physics', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '3B Chemistry', '150 Molecular & Cell Biology', '1A Chemistry', '1AL Biology', '132 Integrative Biology', '1B Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-C 	24 Vision Science-Credit 	24 Integrative Biology-A 	98 English-Credit 	45C English-B 	1AL Chemistry-A 	10A Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	10B Mathematics-B 	1 German-B 	13 Art Practice-A 	3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	150AC Global Poverty & Practice-Credit 	95 Integrative Biology-Credit 	1B Biology-B 	2 Physical Education-Credit 	3B Chemistry-C 	3BL Chemistry-A 
label: 	['8A Physics', '1 Psychology', '1A Biology', '1AL Biology', '3 French']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '1A Chemistry', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-B 	1A Chemistry-B 	8A Physics-A 	24 Civil & Environmental Eng-Credit 	1 French-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1AL Biology-B 	3A Chemistry-B 	1A Biology-B 	20 Statistics-A 	8B Physics-B 	3AL Chemistry-A 
label: 	['10 Computer Science', '3BL Chemistry', '1B Biology', '3B Chemistry']
predict: 	['110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '7A Physics', '132 Integrative Biology', '100B Molecular & Cell Biology', '1B Biology']
correct: 	['3B Chemistry', '1B Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	W21 Statistics-No Credit 	7B Chinese-B 	1A Chemistry-B 	7B History-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Biology-B 	116 Public Health-Credit 	32 Molecular & Cell Biology-Credit 	3AL Chemistry-A 	3A Chemistry-A 
label: 	['179 Political Science', '11 Nutritional Science & Tox', '3B Chemistry', '3BL Chemistry', '8B Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology']
correct: 	['3B Chemistry', '8B Physics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1B Near Eastern Studies-A 	10 Nutritional Science & Tox-A 	98 Education-Credit 	1A Chemistry-A 	1B Mathematics-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	N3AL Chemistry-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	116 Public Health-Credit 	R5A South Asian-A 	8A Physics-B 	98 Public Health-Credit 	3BL Chemistry-A 
label: 	['1AL Biology', '8B Physics', '84 Vision Science', '141 Psychology', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	R5B Slavic Languages & Lit-A 	8A Physics-A 	116 Public Health-Credit 	1A Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	8B Physics-A 	3A Chemistry-A 	3AL Chemistry-A 	1B Biology-A 
label: 	['29 Music', '1AL Biology', '3BL Chemistry', '1A Biology', '3B Chemistry']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '3B Chemistry', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	1B Biology-B 	1AL Chemistry-A 	C61 Psychology-A 	R1B Comparative Literature-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Psychology-A 	1B Mathematics-B 	5 Linguistics-A 	3AL Chemistry-A 	3A Chemistry-B 
label: 	['3AC Sociology', '1AL Biology', '96 Business Admin-Undergrad', '1A Biology', '3BL Chemistry', '3B Chemistry']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology']
correct: 	['1A Biology', '3B Chemistry', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	53 Mathematics-B 	1 Psychology-A 	1AL Chemistry-A 	1A Chemistry-A 	98 Env Sci, Policy, & Mgmt-Credit 	98 Psychology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	2 Statistics-B 	C64 Psychology-B 	112A Chemistry-B 	1B Biology-B 
label: 	['39 Theater Dance & Perf Stds', '39L Slavic Languages & Lit', '3B Chemistry', '1A Biology', '3BL Chemistry', '1AL Biology']
predict: 	['1A Biology', '3A Chemistry', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology']
correct: 	['1A Biology', '3B Chemistry', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	8A Physics-A 	198 Molecular & Cell Biology-Credit 	160 Molecular & Cell Biology-A 	186AC Education-Credit 
label: 	['161 Molecular & Cell Biology', '1 Political Science', '198 Molecular & Cell Biology', '8B Physics']
predict: 	['1A Biology', '3A Chemistry', 'C100A Molecular & Cell Biology', '8B Physics', '3B Chemistry', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology']
correct: 	['8B Physics']

positive hit rate	0.8706896551724138
sem 0: 	major: ['Molecular Environ Biology']: 	16A Mathematics-Credit 	7A History-Credit 	24 Integrative Biology-Credit 	1AL Chemistry-A 	24 Earth & Planetary Science-Credit 	1A Chemistry-B 	sem 1: 	major: ['Molecular Environ Biology']: 	50AC Env Sci, Policy, & Mgmt-A 	3AL Chemistry-A 	3A Chemistry-C 	98 Molecular & Cell Biology-Credit 	W1 Psychology-Credit 	sem 2: 	major: ['Molecular Environ Biology']: 	3B Chemistry-No Credit 	16A Mathematics-F 	1B Biology-B 	162 Env Sci, Policy, & Mgmt-A 	3BL Chemistry-C 	sem 3: 	major: ['Molecular Environ Biology']: 	1AL Biology-B 	1A Biology-C 	16B Mathematics-F 	15 Env Sci, Policy, & Mgmt-A 	sem 4: 	major: ['Molecular Environ Biology']: 	16A Mathematics-B 	sem 5: 	major: ['Molecular Environ Biology']: 	137 Integrative Biology-No Credit 	16B Mathematics-B 	8A Physics-No Credit 
label: 	['114 Env Sci, Policy, & Mgmt', '8A Physics', '134 Env Sci, Policy, & Mgmt']
predict: 	['150L Molecular & Cell Biology', 'C143B Integrative Biology', '160L Molecular & Cell Biology', '104LF Integrative Biology', '138 Integrative Biology', '130B Chemistry', 'C100 Integrative Biology', '169 Integrative Biology', 'C182 Chemistry', '105 Chemistry']
correct: 	[]

sem 0: 	major: ['Microbial Biology']: 	1AL Chemistry-A 	16A Mathematics-B 	1A Chemistry-A 	1 Sociology-A 	R1A Native American Studies-A 	sem 1: 	major: ['Microbial Biology']: 	3AL Chemistry-A 	16B Mathematics-A 	R1B History of Art-B 	3A Chemistry-A 	sem 2: 	major: ['Microbial Biology']: 	3BL Chemistry-A 	3B Chemistry-B 	sem 3: 	major: ['Microbial Biology']: 	1AL Biology-B 	20A Music-A 	1A Biology-B 	2 Statistics-A 	1 Psychology-A 	sem 4: 	major: ['Microbial Biology']: 	26AC Music-A 	8A Physics-B 	1B Biology-Credit 	10 Nutritional Science & Tox-A 	sem 5: 	major: ['Nut Sci-Physio & Metabol']: 	32 Molecular & Cell Biology-A 	32L Molecular & Cell Biology-A 	131 Integrative Biology-B 	103 Nutritional Science & Tox-A 	117 Integrative Biology-B 
label: 	['C160V Letters & Science', '115 Nutritional Science & Tox', '198 Asian American Studies', '104 Nutritional Science & Tox']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '132 Integrative Biology', '7A Physics', '150 Molecular & Cell Biology', '100B Molecular & Cell Biology', '7B Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	20A Music-A 	1A Chemistry-C 	1AL Chemistry-A 	1A Mathematics-B 	R1A Comparative Literature-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	143 Music-A 	1B Biology-C 	1B Mathematics-C 	3A Chemistry-C 	3AL Chemistry-A 	142 Music-A 	25A Music-A 	sem 2: 	major: ['Music']: 	49C Music-B 	49B Music-B 	3BL Chemistry-B 	405 Music-Credit 	3B Chemistry-D 	R1B Comparative Literature-B 	144 Music-B 	sem 3: 	major: ['Music']: 	8A Physics-B 	405 Music-Credit 	1AL Biology-C 	1A Biology-C 	50 Music-B 	142 Music-A 	60 Music-B 	sem 4: 	major: ['Music']: 	3B Chemistry-C 	8B Physics-B 	sem 5: 	major: ['Music']: 	150B Music-A 	C100A Molecular & Cell Biology-F 	61 Music-C 	70 Music-C 
label: 	['104 Molecular & Cell Biology', '80 Music', '142 Music', '150B Music', '102 Molecular & Cell Biology', '161B Music']
predict: 	['138 Integrative Biology', '130B Chemistry', 'C100 Integrative Biology', '169 Integrative Biology', '105 Chemistry', 'C182 Chemistry', '41 Molecular & Cell Biology', '133L Molecular & Cell Biology', '190 Integrative Biology', '1AL Chemistry']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1 Physical Education-Credit 	1A Chemistry-B 	R1B English-B 	94 Peace & Conflict Studies-Credit 	1AL Chemistry-A 	1B Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Physical Education-Credit 	3AL Chemistry-A 	3A Chemistry-B 	1B Biology-B 	3 Naval Science-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	C160 Scandinavian-A 	3B Chemistry-B 	1 Physical Education-Credit 	8A Physics-C 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1AL Biology-B 	2 Statistics-C 	1A Biology-B 	196 Business Admin-Undergrad-Credit 	1 Physical Education-Credit 	sem 4: 	major: ['Letters & Sci Undeclared']: 	2 Naval Science-A 	50 Earth & Planetary Science-A 	1 Physical Education-Credit 	140 Integrative Biology-A 	8B Physics-C 	sem 5: 	major: ['Integrative Biology', 'Environmental Earth Science']: 	132 Integrative Biology-A 	117 Integrative Biology-A 	sem 6: 	major: ['Integrative Biology', 'Environmental Earth Science']: 	C144 Integrative Biology-B 	1 Physical Education-Credit 	164 Integrative Biology-B 	117LF Integrative Biology-B 	117 Earth & Planetary Science-C 
label: 	['102 Earth & Planetary Science', '102 Energy and Resources', '1B Chemistry', '150 Earth & Planetary Science', '1 Physical Education']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '1A Chemistry', '100B Molecular & Cell Biology', '7A Physics', '137B Physics', '140 Molecular & Cell Biology', '7B Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1B Biology-B 	N60AC Comparative Literature-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	4 Spanish-B 	1AL Chemistry-A 	1A Chemistry-B 	61A Computer Science-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	61B Computer Science-B 	3A Chemistry-C 	8A Physics-A 	54 Mathematics-D 	3AL Chemistry-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1 Economics-Credit 	70 Computer Science-C 	sem 4: 	major: ['Letters & Sci Undeclared']: 	R1B Film-A 	3B Chemistry-C 	8B Physics-C 	3BL Chemistry-C 	61C Computer Science-D 
label: 	['1AL Biology', '1A Biology', '61C Computer Science', '170 Computer Science', '54 Mathematics']
predict: 	['138 Integrative Biology', 'C100 Integrative Biology', '130B Chemistry', '41 Molecular & Cell Biology', '105 Chemistry', '169 Integrative Biology', 'C182 Chemistry', '133L Molecular & Cell Biology', '190 Integrative Biology', '118 Molecular & Cell Biology']
correct: 	[]

sem 0: 	major: ['Molecular Environ Biology']: 	2AC Anthropology-B 	1AL Chemistry-A 	1A Japanese-A 	16B Mathematics-A 	1A Chemistry-A 	98 English-Credit 	sem 1: 	major: ['Molecular Environ Biology']: 	R1A French-A 	1B Japanese-A 	98BC Env Sci, Policy, & Mgmt-Credit 	3A Chemistry-B 	3AL Chemistry-A 	15 Env Sci, Policy, & Mgmt-A 	sem 2: 	major: ['Molecular Environ Biology']: 	21 Art Practice-A 	R1B French-A 	sem 3: 	major: ['Molecular Environ Biology']: 	133 Statistics-Credit 	10A Japanese-A 	3B Chemistry-B 	3BL Chemistry-A 	1B Biology-A 
label: 	['98BC Env Sci, Policy, & Mgmt', '1AL Biology', '8A Physics', '1A Biology', '10B Japanese', '50AC Env Sci, Policy, & Mgmt']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	50AC Gender & Womens Studies-B 	10A Mathematics-B 	1AL Chemistry-A 	R1B Comparative Literature-B 	1A Chemistry-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	R5B South Asian-B 	3A Chemistry-B 	174 Philosophy-C 	10B Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-C 	3BL Chemistry-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1B Biology-B 	105 Economics-B 	1 Sociology-B 	8A Physics-B 
label: 	['1 Psychology', '1A Biology', '8B Physics', '170 Anthropology', '1AL Biology']
predict: 	['1A Biology', '8B Physics', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1AL Biology', '1A Chemistry', '132 Integrative Biology', '150 Molecular & Cell Biology', '7A Physics', '100B Molecular & Cell Biology']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Microbial Biology']: 	16A Mathematics-A 	R5A South & SE Asian Studies-A 	1AL Chemistry-B 	1A Chemistry-B 	24 Psychology-Credit 	sem 1: 	major: ['Microbial Biology']: 	16B Mathematics-A 	R5B South Asian-A 	3A Chemistry-B 	24 History-A 	3AL Chemistry-A 	sem 2: 	major: ['Microbial Biology']: 	1B Biology-B 	sem 3: 	major: ['Microbial Biology']: 	32 Molecular & Cell Biology-B 	8A Physics-B 	3BL Chemistry-A 	32L Molecular & Cell Biology-A 	3B Chemistry-B 
label: 	['40 Plant Biology', '2 Statistics', '11 Nutritional Science & Tox', '1A Biology', '1AL Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-B 	1AL Chemistry-A 	10A Mathematics-C 	R1B Comparative Literature-A 	10 Plant Biology-No Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	25 Bioengineering-Credit 	3A Chemistry-B 	10B Mathematics-B 	2 Psychology-A 	70B Letters & Science-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	N3AL Chemistry-B 	R5B Scandinavian-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-C 	3B Chemistry-C 	8A Physics-C 	C10 Astronomy-C 
label: 	['1A Biology', '1AL Biology', '50 Molecular & Cell Biology', '8B Physics', '41 Molecular & Cell Biology']
predict: 	['1B Biology', '140 Integrative Biology', '150L Molecular & Cell Biology', '104LF Integrative Biology', '138 Integrative Biology', 'C143B Integrative Biology', '125 Chemistry', '130B Chemistry', '105 Chemistry', '169 Integrative Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	50 Chicano Studies-A 	14N Public Health-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-C 	10A Mathematics-B 	98 Integrative Biology-Credit 	C96 Integrative Biology-Credit 	1AL Chemistry-A 	35AC Integrative Biology-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	196 Public Health-A 	2 Political Science-B 	3AC Sociology-A 	3AL Chemistry-B 	3A Chemistry-C 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-C 	3BL Chemistry-B 	8A Physics-C 	166 Sociology-D 	C155 Public Health-C 
label: 	['C160V Letters & Science', '198 Integrative Biology', '142 Public Health', '198 Public Health', '150E Public Health']
predict: 	['150L Molecular & Cell Biology', '138 Integrative Biology', 'C100 Integrative Biology', '105 Chemistry', 'C182 Chemistry', '133L Molecular & Cell Biology', '190 Integrative Biology', '24 Integrative Biology', '118 Molecular & Cell Biology', 'C161 Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-C 	C30T Letters & Science-B 	98 Asian American Studies-Credit 	32 Mathematics-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-B 	3A Chemistry-B 	26AC Music-A 	98 Mathematics-Credit 	3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	20A Music-A 	R2A Asian American Studies-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-No Credit 	3BL Chemistry-B 	3B Chemistry-B 	R2B Asian American Studies-A 
label: 	['198 Public Health', '1B Mathematics', '10 Nutritional Science & Tox', '1 Psychology', '1B Biology', '116 Public Health']
predict: 	['1A Biology', '8B Physics', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1AL Biology', '1A Chemistry', '1B Biology', '132 Integrative Biology', '150 Molecular & Cell Biology', '8A Physics']
correct: 	['1B Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-C 	24 Bioengineering-Credit 	1A Chemistry-C 	10 Bioengineering-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1A Rhetoric-A 	25 Bioengineering-Credit 	1B Mathematics-C 	7A Physics-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	50AC Env Sci, Policy, & Mgmt-B 	3A Chemistry-D 	N3AL Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-C 	1AL Biology-B 	140 Film-B 	R44 Classics-C 	1A Biology-C 
label: 	['3B Chemistry', '3BL Chemistry', '1B Biology', '8B Physics']
predict: 	['138 Integrative Biology', '3BL Chemistry', 'C100 Integrative Biology', '105 Chemistry', 'C182 Chemistry', '3AL Chemistry', '133L Molecular & Cell Biology', '1AL Chemistry', '190 Integrative Biology', '118 Molecular & Cell Biology']
correct: 	['3BL Chemistry']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Molecular & Cell Biology-Credit 	90E Molecular & Cell Biology-Credit 	8A Physics-B 	1A Chemistry-C 	1AL Chemistry-A 	R4B College Writing Programs-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	2 Psychology-A 	3AL Chemistry-A 	3AC Sociology-B 	3A Chemistry-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-B 	10A Mathematics-C 	103D History-Credit 	3B Chemistry-C 
label: 	['10 Nutritional Science & Tox', '10 Gender & Womens Studies', '1A Biology', '10B Mathematics', '98 Mathematics', '1AL Biology']
predict: 	['140 Integrative Biology', '150L Molecular & Cell Biology', '7C Physics', '1B Chemistry', 'H7B Physics', 'C148 Molecular & Cell Biology', '160L Molecular & Cell Biology', '104LF Integrative Biology', '105 Physics', 'C103 Molecular & Cell Biology']
correct: 	[]

sem 0: 	major: ['CNR Undeclared']: 	1AL Chemistry-A 	50AC Env Sci, Policy, & Mgmt-A 	16B Mathematics-A 	1A Chemistry-C 	98 Asian Studies-Credit 	sem 1: 	major: ['CNR Undeclared']: 	24 Integrative Biology-Credit 	11 Nutritional Science & Tox-A 	3A Chemistry-B 	2 Statistics-B 	3AL Chemistry-A 	R1B History of Art-A 	sem 2: 	major: ['CNR Undeclared']: 	3B Chemistry-C 	3BL Chemistry-A 	sem 3: 	major: ['CNR Undeclared']: 	1 Economics-C 	32L Molecular & Cell Biology-A 	32 Molecular & Cell Biology-C 	1B Biology-C 	98 Chemistry-Credit 
label: 	['1A Biology', '115 Nutritional Science & Tox', '1AL Biology', '8A Physics', '190AC Education', '1 Physical Education']
predict: 	['150L Molecular & Cell Biology', '104LF Integrative Biology', '138 Integrative Biology', '169 Integrative Biology', 'C100 Integrative Biology', '130B Chemistry', '105 Chemistry', 'C182 Chemistry', '168L Integrative Biology', '41 Molecular & Cell Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	50 Molecular & Cell Biology-B 	1A Chemistry-C 	94 Peace & Conflict Studies-Credit 	98 Sociology-Credit 	1B Mathematics-A 	1AL Chemistry-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1A College Writing Programs-A 	98 Ethnic Studies-Credit 	3AL Chemistry-A 	3A Chemistry-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-C 	3B Chemistry-B 	1 French-A 	94 Peace & Conflict Studies-Credit 	sem 3: 	major: ['Letters & Sci Undeclared']: 	135A Chicano Studies-A 	111AC Sociology-B 	3BL Chemistry-A 	150 International & Area Stds-Credit 
label: 	['8A Physics', '1A Biology', '197 Chicano Studies', '1AL Biology', '180AC Chicano Studies']
predict: 	['1AL Biology', '150 Molecular & Cell Biology', '1A Chemistry', '132 Integrative Biology', '8A Physics', '140 Integrative Biology', '130A Molecular & Cell Biology', '137B Physics', '137A Physics', '150L Molecular & Cell Biology']
correct: 	['1AL Biology', '8A Physics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	20A Asian American Studies-B 	90A Molecular & Cell Biology-Credit 	10A Mathematics-C 	1A Chemistry-C 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 English-Credit 	10B Mathematics-B 	8A Physics-C 	98 Molecular & Cell Biology-Credit 	97 Social Welfare-Credit 	26AC Music-A 	98 Mathematics-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	117LF Integrative Biology-Credit 	117 Integrative Biology-Credit 	N3AL Chemistry-A 	3A Chemistry-C 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1 Physical Education-Credit 	8B Physics-F 	3BL Chemistry-A 	116 Public Health-Credit 	98 Public Health-Credit 	3B Chemistry-C 
label: 	['150 Asian American Studies', '146 Asian American Studies', '1A Biology', '1AL Biology', '1 Sociology']
predict: 	['1B Biology', '140 Integrative Biology', '150L Molecular & Cell Biology', '137A Physics', '7C Physics', 'H7B Physics', 'C148 Molecular & Cell Biology', '104LF Integrative Biology', 'C103 Molecular & Cell Biology', '160L Molecular & Cell Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	32 Mathematics-B 	98 Mathematics-Credit 	1A Chinese-C 	1AL Chemistry-B 	1A Chemistry-D 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-C 	1A Mathematics-C 	143 Music-A 	1B Chinese-No Credit 	160B Letters & Science-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-C 	N3AL Chemistry-A 	3A Chemistry-D 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1A Biology-C 	8A Physics-C 	R1B Theater Dance & Perf Stds-B 	1AL Biology-C 	3A Chemistry-B 
label: 	['1B Biology', '3B Chemistry', 'R1A Native American Studies', '3BL Chemistry']
predict: 	['3BL Chemistry', 'C100 Integrative Biology', '3AL Chemistry', 'C182 Chemistry', '133L Molecular & Cell Biology', '190 Integrative Biology', '118 Molecular & Cell Biology', '1AL Chemistry', 'C161 Physics', '146 Chemistry']
correct: 	['3BL Chemistry']

